node,betweeness_centrality,node_type
MET,0.00010690686925080938,gene/protein
osteomyelitis (disease),0.00010496039478554166,disease
efrA,0.00010486069145307124,resistance_gene
TMEM18,0.00010455800763492679,gene/protein
WDR45B,0.00010406393592711854,gene/protein
PPP1R15A,0.00010406393592711854,gene/protein
nucleoside,0.00010378888193303386,drug_class
CLDN14,0.00010298011445016715,gene/protein
C2CD4A,0.00010290019714509953,gene/protein
SOX2,0.00010272393663647697,gene/protein
BRAF,0.00010159634891257221,gene/protein
RUVBL1,0.00010144223339779374,gene/protein
CD247,0.00010126361473459348,gene/protein
TRIM28,9.997636043036366e-05,gene/protein
pneumonia,9.88999233416456e-05,disease
MIR141,9.851938854473572e-05,gene/protein
ESR2,9.819696195913729e-05,gene/protein
PTK2B,9.812830718800124e-05,gene/protein
JUND,9.714811861632836e-05,gene/protein
CAT,9.295825087404856e-05,gene/protein
SET,9.205325070658813e-05,gene/protein
PTPN12,9.203222360549316e-05,gene/protein
periodontitis,9.197659561824684e-05,disease
PIK3CA,9.182990795685196e-05,gene/protein
NR3C1,9.124484670050048e-05,gene/protein
HNRNPD,9.070170350368089e-05,gene/protein
HBA1,8.989137634212798e-05,gene/protein
APEX2,8.683415828901479e-05,gene/protein
PPP2CA,8.510808750276903e-05,gene/protein
CCND2,8.451619124465386e-05,gene/protein
ELOC,8.446957774767661e-05,gene/protein
IQGAP1,8.409689538991122e-05,gene/protein
ERBB2,8.395850208232619e-05,gene/protein
YWHAZ,8.270298498643757e-05,gene/protein
PPM1B,8.071899480013732e-05,gene/protein
efpA,7.858872943140976e-05,resistance_gene
NEK2,7.646946601133174e-05,gene/protein
AHI1,7.60836577863555e-05,gene/protein
IFT140,7.60836577863555e-05,gene/protein
RbpA,7.59382001680383e-05,resistance_gene
urinary tract infection (disease),7.555035670908262e-05,disease
RB1,7.554991043204005e-05,gene/protein
HLA-DRB5,7.537950668047607e-05,gene/protein
arr-2,7.530065593747664e-05,resistance_gene
arr-3,7.530065593747664e-05,resistance_gene
arr-8,7.529728717607966e-05,resistance_gene
arr-4,7.529677194070264e-05,resistance_gene
arr-7,7.52951585826414e-05,resistance_gene
arr-5,7.529462294861373e-05,resistance_gene
MEN1,7.516694409959736e-05,gene/protein
TOPORS,7.499287512198592e-05,gene/protein
TP73,7.455861328081184e-05,gene/protein
HSPA8,7.39792594885162e-05,gene/protein
