node,betweeness_centrality,node_type
FOXA1,1.1350647347724617e-05,gene/protein
TERF1,1.1310156031950823e-05,gene/protein
YY1,1.1295372018405206e-05,gene/protein
RAP1GDS1,1.123933746391909e-05,gene/protein
CREB3L1,1.117532456658837e-05,gene/protein
IGF2R,1.0937775523427966e-05,gene/protein
INPP5D,1.0869248924357329e-05,gene/protein
PKP4,1.065988244878959e-05,gene/protein
NRAS,1.0655151539073284e-05,gene/protein
JAK3,1.054432334220756e-05,gene/protein
SOCS1,1.0487618099754683e-05,gene/protein
CDK4,1.0403405420063305e-05,gene/protein
PAK1,1.030380012794286e-05,gene/protein
TPP1,1.0272080902334327e-05,gene/protein
TRIM27,1.0260864288077903e-05,gene/protein
AHCYL1,1.0201659611955359e-05,gene/protein
NFATC1,1.01899807409492e-05,gene/protein
YWHAH,1.0110075028084199e-05,gene/protein
MAP3K10,1.0042471996505112e-05,gene/protein
otitis externa,9.959587088130688e-06,disease
IRF1,9.953421060446729e-06,gene/protein
SSMEM1,9.888635831498495e-06,gene/protein
DCAF7,9.851754558193859e-06,gene/protein
CCDC6,9.786926638760885e-06,gene/protein
CD82,9.782690715205125e-06,gene/protein
BRCA1,9.719424313991076e-06,gene/protein
CAVIN1,9.660877331887776e-06,gene/protein
ATF2,9.607378370449021e-06,gene/protein
RAD51,9.28269799559455e-06,gene/protein
CD7,9.19271766079793e-06,gene/protein
MKRN3,9.192190252246731e-06,gene/protein
H2BC9,9.12042142205964e-06,gene/protein
EEF1A1,9.092180532659841e-06,gene/protein
NCOA4,9.012701848822745e-06,gene/protein
IL10,8.989223437147966e-06,gene/protein
SNX1,8.979147945436131e-06,gene/protein
SNX2,8.979147945436131e-06,gene/protein
autoimmune polyendocrine,8.909472102953307e-06,disease
HIPK2,8.893155596712236e-06,gene/protein
RIN1,8.882239005257204e-06,gene/protein
KRT1,8.882239005257204e-06,gene/protein
CUL2,8.881274504888035e-06,gene/protein
PPP4C,8.747081589058136e-06,gene/protein
Insulin resistance,8.632159728974992e-06,effect/phenotype
TOPORS,8.535573702802167e-06,gene/protein
IL13RA2,8.431911303809883e-06,gene/protein
SUV39H1,8.337394041519867e-06,gene/protein
BHMT,8.266781211206867e-06,gene/protein
CDK2,8.218079537331213e-06,gene/protein
PIAS2,8.091504336625087e-06,gene/protein
